Month,All items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
Aug-06,3.80%,2.40%,1.90%,3.10%,15.10%,19.60%,12.00%,2.80%,2.80%,0.60%,0.30%,1.00%,3.90%,3.70%,3.80%,4.40%,3.30%
Sep-06,2.10%,2.50%,2.20%,3.00%,-4.30%,-11.90%,11.80%,-6.10%,2.90%,0.50%,1.00%,0.40%,3.70%,3.90%,4.20%,4.40%,2.70%
Oct-06,1.30%,2.60%,2.30%,3.00%,-11.30%,-18.30%,10.40%,-24.00%,2.70%,0.10%,0.50%,-0.20%,3.30%,3.80%,4.00%,4.20%,3.00%
Nov-06,2.00%,2.30%,1.70%,3.10%,-3.80%,-4.20%,6.50%,-19.80%,2.60%,-0.10%,0.20%,-0.90%,2.20%,3.70%,4.20%,4.10%,2.40%
Dec-06,2.50%,2.10%,1.40%,3.20%,2.90%,6.40%,7.50%,-14.20%,2.60%,-0.10%,0.90%,-0.90%,1.80%,3.70%,4.20%,4.10%,2.30%
Jan-07,2.10%,2.40%,1.70%,3.30%,-3.10%,-2.70%,4.10%,-17.70%,2.70%,-0.20%,0.90%,-1.20%,2.20%,3.80%,4.30%,4.90%,1.80%
Feb-07,2.40%,3.10%,2.90%,3.40%,-1.00%,-1.40%,3.70%,-9.70%,2.70%,0.00%,2.10%,-1.40%,1.60%,3.80%,4.20%,5.10%,2.00%
Mar-07,2.80%,3.30%,3.40%,3.30%,4.40%,7.20%,3.80%,-3.20%,2.50%,-0.30%,0.50%,-1.10%,0.90%,3.60%,3.90%,4.90%,2.30%
Apr-07,2.60%,3.70%,3.90%,3.40%,2.90%,3.20%,3.70%,0.20%,2.30%,-0.50%,-0.40%,-1.00%,1.10%,3.50%,3.90%,5.00%,2.20%
May-07,2.70%,3.90%,4.40%,3.30%,4.70%,6.00%,4.10%,1.70%,2.20%,-0.70%,-0.80%,-1.00%,0.80%,3.40%,3.80%,5.00%,2.70%
Jun-07,2.70%,4.10%,4.60%,3.40%,4.60%,5.00%,3.40%,7.20%,2.20%,-0.80%,-1.40%,-1.00%,0.80%,3.40%,3.80%,5.00%,2.40%
Jul-07,2.40%,4.20%,4.60%,3.60%,1.00%,-1.10%,3.10%,5.20%,2.20%,-0.60%,-0.30%,-1.10%,1.10%,3.30%,3.60%,5.40%,2.30%
Aug-07,2.00%,4.30%,4.70%,3.80%,-2.50%,-6.40%,3.00%,0.50%,2.10%,-0.70%,-1.40%,-0.90%,1.20%,3.20%,3.40%,5.50%,2.40%
Sep-07,2.80%,4.50%,4.70%,4.10%,5.30%,8.70%,3.10%,-2.60%,2.10%,-0.80%,-1.80%,-1.00%,1.10%,3.30%,3.50%,5.60%,2.40%
Oct-07,3.50%,4.40%,4.70%,4.10%,14.50%,23.40%,4.70%,5.90%,2.20%,-0.50%,-1.20%,-1.10%,1.40%,3.20%,3.20%,5.90%,2.60%
Nov-07,4.30%,4.80%,5.40%,4.10%,21.40%,37.10%,5.50%,1.90%,2.30%,0.00%,-0.40%,-0.40%,2.30%,3.30%,3.10%,5.80%,2.80%
Dec-07,4.10%,4.90%,5.60%,4.00%,17.40%,29.60%,5.20%,-0.40%,2.40%,0.10%,-0.30%,-0.30%,2.70%,3.30%,3.10%,5.90%,3.00%
Jan-08,4.30%,4.90%,5.80%,3.90%,19.60%,34.50%,3.70%,1.20%,2.50%,0.20%,-0.20%,-0.60%,2.50%,3.40%,3.10%,5.70%,3.40%
